"","m=6","m=9","m=16","m=6","m=9","m=16","m=6","m=9","m=16"
"Boot BP Mean",0.018981018981019,0.010989010989011,0.0789210789210789,0.00999000999000999,0.00799200799200799,0.040959040959041,0.542457542457542,0.397602397602398,0.531468531468531
"Boot BP Var",0.0679320679320679,0.0819180819180819,0.20979020979021,0.018981018981019,0.024975024975025,0.0779220779220779,0.851148851148851,0.637362637362637,0.632367632367632
"Boot LB Mean",0.018981018981019,0.011988011988012,0.0889110889110889,0.00999000999000999,0.00799200799200799,0.046953046953047,0.541458541458541,0.393606393606394,0.53046953046953
"Boot LB Var",0.0699300699300699,0.0849150849150849,0.213786213786214,0.018981018981019,0.026973026973027,0.0879120879120879,0.849150849150849,0.629370629370629,0.624375624375624
"Boot WLB Mean",0.00999000999000999,0.00899100899100899,0.015984015984016,0.002997002997003,0.002997002997003,0.00699300699300699,0.581418581418581,0.533466533466533,0.522477522477522
"Boot WLB Var",0.017982017982018,0.021978021978022,0.0659340659340659,0.004995004995005,0.00599400599400599,0.016983016983017,0.901098901098901,0.802197802197802,0.724275724275724
"Boot Dan Mean",0.00999000999000999,0.00899100899100899,0.013986013986014,0.002997002997003,0.002997002997003,0.004995004995005,0.71028971028971,0.575424575424575,0.511488511488511
"Boot Dan Var",0.00899100899100899,0.017982017982018,0.0539460539460539,0.001998001998002,0.004995004995005,0.014985014985015,0.94005994005994,0.897102897102897,0.771228771228771
"Boot Mat Mean",0.00999000999000999,0.00899100899100899,0.015984015984016,0.002997002997003,0.002997002997003,0.00799200799200799,0.584415584415584,0.538461538461538,0.524475524475524
"Boot Mat Var",0.017982017982018,0.026973026973027,0.0669330669330669,0.004995004995005,0.00699300699300699,0.020979020979021,0.902097902097902,0.804195804195804,0.732267732267732
